id,name,base_frequency,tdp,max_temp,url,socket,product_line,lithography,opn_tray,opn_pib,revision,cache_l1,cache_l2,cache_l3,first_mention_year
426,AMD Phenom II X4 Black 975,3600,125,62,https://web.archive.org/web/20141025201238/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=748&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM3,AMD Phenom II X4 Black,45,HDZ975FBK4DGM,HDZ975FBGMBOX,C3,128,512,6144,2014
427,AMD Phenom II X4 Black 970,3500,125,62,https://web.archive.org/web/20150429070402/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=714&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM3,AMD Phenom II X4 Black,45,HDZ970FBK4DGM,HDZ970FBGMBOX,C3,128,512,6144,2015
428,AMD Phenom II X2 Black 560,3300,80,70,https://web.archive.org/web/20150429070407/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=715&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM3,AMD Phenom II X2 Black,45,HDZ560WFK2DGM,HDZ560WFGMBOX,C3,128,512,6144,2015
429,AMD Phenom II X2 Black 570,3500,80,,https://web.archive.org/web/20150429070605/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=750&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM3,AMD Phenom II X2 Black,45,HDZ570WFK2DGM,HDZ570WFGMBOX,C3,128,512,6144,2015
430,AMD Phenom II X6 Black 1100T,3300,125,62,https://web.archive.org/web/20150429070508/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=726&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM3,AMD Phenom II X6 Black,45,HDE00ZFBK6DGR,HDE00ZFBGRBOX,E0,128,512,6144,2015
431,AMD Phenom II X6 Black 1090T,3200,125,62,https://web.archive.org/web/20141021095000/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=640&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM3,AMD Phenom II X6 Black,45,HDT90ZFBK6DGR,HDT90ZFBGRBOX,E0,128,512,6144,2014
432,AMD Phenom II  X6 1045T,2700,95,71,https://web.archive.org/web/20150429071201/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=774&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM3,AMD Phenom II  X6,45,HDT45TWFK6DGR,HDT45TWFGRBOX,"",128,512,6144,2015
433,AMD Sempron 3400+,1800,35,78,https://web.archive.org/web/20071227053441/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=145,AM2,AMD Sempron,90,SDD3400IAA3CN,SDD3400CBNOX,F2,128,256,0,2007
434,AMD Phenom II X4 B93,2800,95,71,https://web.archive.org/web/20110817100450/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=599&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM3,AMD Phenom II X4,45,HDXB93WFK4DGI,,C2,128,512,6144,2011
435,AMD Phenom II X4 B95,3000,95,71,https://web.archive.org/web/20110817100445/http://products.amd.com/en-us/DesktopCPUDetail.aspx?id=598&f1=&f2=&f3=&f4=&f5=&f6=&f7=&f8=&f9=&f10=&f11=&f12=,AM3,AMD Phenom II X4,45,HDXB95WFK4DGI,,C2,128,512,6144,2011
